fault_group,variable,fault_true_frac,normal_true_frac,delta_true_frac,abs_delta,fault_transitions,fault_samples,is_alarm
coolant,Prog_A_701330,0.4068,0.0032,0.4036,0.4036,91,118,True
hydraulics,CBC_Closed,0.6519,0.2467,0.4052,0.4052,94,135,False
hydraulics,CBC_close,0.6519,0.2471,0.4048,0.4048,94,135,False
hydraulics,CBC_isOpen,0.3481,0.1786,0.1695,0.1695,94,135,False
hydraulics,CBC_open,0.3481,0.1774,0.1707,0.1707,94,135,False
hydraulics,ExU_On,0.3868,0.1108,0.276,0.276,65,106,False
hydraulics,ExU_isOff,0.6132,0.0212,0.592,0.592,65,106,False
hydraulics,HP_Pump_isOff,0.3761,0.1474,0.2287,0.2287,76,117,False
hydraulics,Hyd_Filter_Ok,0.6667,0.1208,0.5459,0.5459,6,9,False
hydraulics,Hyd_IsEnabled,0.5469,0.1221,0.4248,0.4248,348,384,False
hydraulics,Hyd_Level_Ok,0.6591,0.1208,0.5383,0.5383,30,44,False
hydraulics,Hyd_Pump_Ok,0.6667,0.1208,0.5459,0.5459,24,36,False
hydraulics,Hyd_Pump_On,0.6667,0.1208,0.5459,0.5459,72,108,False
hydraulics,Hyd_Pump_isOff,0.3333,0.0,0.3333,0.3333,72,108,False
hydraulics,Hyd_Temp_lt_70,0.6667,0.1215,0.5452,0.5452,20,30,False
hydraulics,Hyd_Temp_lt_80,0.6667,0.1215,0.5452,0.5452,20,30,False
hydraulics,Hyd_Valve_P_Up,0.3333,0.4215,-0.0882,0.0882,34,51,False
hydraulics,LP_Pump_On,0.4409,0.3218,0.1191,0.1191,306,347,False
hydraulics,Lubr_On,0.3333,0.0028,0.3305,0.3305,2,3,False
hydraulics,Lubr_P_Ok,0.3333,0.0028,0.3305,0.3305,2,3,False
hydraulics,M_ErrorActive,0.3333,0.0028,0.3305,0.3305,82,123,False
hydraulics,M_WarnActive,0.3333,0.1533,0.18,0.18,46,69,False
hydraulics,M_WarnWithStacklight,0.3333,0.0035,0.3298,0.3298,82,123,False
hydraulics,SL_Green,0.5107,0.3323,0.1784,0.1784,709,750,False
hydraulics,SL_Red,0.4737,0.3225,0.1512,0.1512,700,741,False
hydraulics,SL_Yellow,0.4629,0.435,0.0279,0.0279,212,229,False
hydraulics,MPA_InitPos,0.5775,0.2316,0.3459,0.3459,172,213,False
hydraulics,MPA_WorkPos,0.4225,0.1756,0.2469,0.2469,172,213,False
hydraulics,MPA_toInitPos,0.5775,0.2327,0.3448,0.3448,172,213,False
hydraulics,MPA_toWorkPos,0.4225,0.1756,0.2469,0.2469,172,213,False
hydraulics,MPC_Closed,0.5775,0.2308,0.3467,0.3467,172,213,False
hydraulics,MPC_close,0.5775,0.2308,0.3467,0.3467,172,213,False
hydraulics,MPC_isOpen,0.4225,0.1757,0.2468,0.2468,172,213,False
hydraulics,MPC_open,0.4225,0.175,0.2475,0.2475,172,213,False
hydraulics,MP_Inactive,0.5962,0.2362,0.36,0.36,172,213,False
hydraulics,SRL_Locked,0.6667,0.117,0.5497,0.5497,24,36,False
hydraulics,SRL_Unlocked,0.3333,0.1417,0.1916,0.1916,28,42,False
hydraulics,Spd_InnerCoolOn,0.4319,0.1923,0.2396,0.2396,260,301,False
hydraulics,Spd_OuterCoolOn,0.3927,0.2257,0.167,0.167,150,191,False
hydraulics,TL_Locked,0.5662,0.3692,0.197,0.197,261,302,False
hydraulics,TL_lock,0.5535,0.3772,0.1763,0.1763,333,374,False
hydraulics,TL_unlock,0.4315,0.3385,0.093,0.093,251,292,False
hydraulics,WCL_InitPos,0.6519,0.2711,0.3808,0.3808,94,135,False
hydraulics,WCL_Locked,0.3481,0.2035,0.1446,0.1446,94,135,False
hydraulics,WCL_Unlocked,0.6519,0.2719,0.38,0.38,94,135,False
hydraulics,WCL_WorkPos,0.3481,0.2036,0.1445,0.1445,94,135,False
hydraulics,WCL_toInitPos,0.6519,0.2711,0.3808,0.3808,94,135,False
hydraulics,WCL_toWorkPos,0.3481,0.2036,0.1445,0.1445,94,135,False
hydraulics,SR_tighten,0.6667,0.1004,0.5663,0.5663,72,108,False
hydraulics,M_Lifebit,0.5004,0.4671,0.0333,0.0333,2203,2244,False
hydraulics,Hyd_A_700202,0.3333,0.0,0.3333,0.3333,38,57,True
hydraulics,Hyd_A_700203,0.3333,0.0,0.3333,0.3333,20,30,True
hydraulics,Hyd_A_700204,0.3333,0.0,0.3333,0.3333,20,30,True
hydraulics,Hyd_A_700205,0.3333,0.0,0.3333,0.3333,28,42,True
hydraulics,Hyd_A_700206,0.3333,0.0,0.3333,0.3333,28,42,True
hydraulics,Hyd_A_700207,0.3333,0.0,0.3333,0.3333,6,9,True
hydraulics,Hyd_A_700208,0.3333,0.0,0.3333,0.3333,24,36,True
hydraulics,SR_A_67040,0.3855,0.0177,0.3678,0.3678,138,179,True
hydraulics,T_A_701309,0.4315,0.3551,0.0764,0.0764,251,292,True
hydraulics,Prog_A_701330,0.3587,0.0032,0.3555,0.3555,64,92,True
probe,CBC_Closed,0.6491,0.2467,0.4024,0.4024,80,114,False
probe,CBC_close,0.6491,0.2471,0.402,0.402,80,114,False
probe,CBC_isOpen,0.3509,0.1786,0.1723,0.1723,80,114,False
probe,CBC_open,0.3509,0.1774,0.1735,0.1735,80,114,False
probe,ExU_On,0.4706,0.1108,0.3598,0.3598,36,68,False
probe,ExU_isOff,0.5294,0.0212,0.5082,0.5082,36,68,False
probe,HP_Pump_isOff,0.6667,0.1474,0.5193,0.5193,68,102,False
probe,LP_Pump_On,0.428,0.3218,0.1062,0.1062,202,236,False
probe,M_WarnWithStacklight,0.3333,0.0035,0.3298,0.3298,68,102,False
probe,SL_Green,0.4981,0.3323,0.1658,0.1658,227,261,False
probe,SL_Red,0.4837,0.3225,0.1612,0.1612,950,984,False
probe,MPA_InitPos,0.5852,0.2316,0.3536,0.3536,142,176,False
probe,MPA_WorkPos,0.4157,0.1756,0.2401,0.2401,144,178,False
probe,MPA_toInitPos,0.5893,0.2327,0.3566,0.3566,134,168,False
probe,MPA_toWorkPos,0.4107,0.1756,0.2351,0.2351,134,168,False
probe,MPC_Closed,0.5893,0.2308,0.3585,0.3585,134,168,False
probe,MPC_close,0.5893,0.2308,0.3585,0.3585,134,168,False
probe,MPC_isOpen,0.4107,0.1757,0.235,0.235,134,168,False
probe,MPC_open,0.4107,0.175,0.2357,0.2357,134,168,False
probe,MP_Inactive,0.6118,0.2362,0.3756,0.3756,118,152,False
probe,SRL_Locked,0.6667,0.117,0.5497,0.5497,14,21,False
probe,SRL_Unlocked,0.3333,0.1417,0.1916,0.1916,18,27,False
probe,Spd_InnerCoolOn,0.4105,0.1923,0.2182,0.2182,156,190,False
probe,Spd_OuterCoolOn,0.3559,0.2257,0.1302,0.1302,84,118,False
probe,TL_Locked,0.5746,0.3692,0.2054,0.2054,194,228,False
probe,TL_lock,0.578,0.3772,0.2008,0.2008,184,218,False
probe,TL_unlock,0.4227,0.3385,0.0842,0.0842,186,220,False
probe,WCL_InitPos,0.6491,0.2711,0.378,0.378,80,114,False
probe,WCL_Locked,0.3509,0.2035,0.1474,0.1474,80,114,False
probe,WCL_Unlocked,0.6491,0.2719,0.3772,0.3772,80,114,False
probe,WCL_WorkPos,0.3509,0.2036,0.1473,0.1473,80,114,False
probe,WCL_toInitPos,0.6491,0.2711,0.378,0.378,80,114,False
probe,WCL_toWorkPos,0.3509,0.2036,0.1473,0.1473,80,114,False
probe,M_Lifebit,0.5,0.4671,0.0329,0.0329,1577,1604,False
probe,MPA_A_701124,0.3333,0.0008,0.3325,0.3325,44,66,True
probe,MPA_A_701125,0.3333,0.0,0.3333,0.3333,24,36,True
probe,SR_A_67040,0.4045,0.0177,0.3868,0.3868,144,178,True
probe,T_A_701309,0.4141,0.3551,0.059,0.059,164,198,True
probe,Prog_A_701330,0.4076,0.0032,0.4044,0.4044,121,157,True
